t_ms,sel_start,sel_length,prev_sel_start,prev_sel_length,delta_chars,caret_x,caret_y,caret_h,touch_x,touch_y,touch_phase,tap_count,touch_age_ms,ms_since_last_text_change,text_length
10709.330,1,0,0,0,1,16.667,7.000,23.667,,,,,,2.463,1
10780.381,2,0,1,0,1,29.333,7.000,23.667,,,,,,1.448,2
10838.663,3,0,2,0,1,38.333,7.000,23.667,,,,,,1.058,3
28657.565,2,0,3,0,-1,29.333,7.000,23.667,,,,,,25.139,2
32432.954,3,0,2,0,1,38.333,7.000,23.667,,,,,,4.033,3
32488.663,4,0,3,0,1,44.000,7.000,23.667,,,,,,1.083,4
56435.593,3,0,4,0,-1,38.333,7.000,23.667,,,,,,6.263,3
60677.898,8,0,3,0,5,69.667,7.000,23.667,,,,,,1.909,8
60702.582,9,0,8,0,1,74.000,7.000,23.667,,,,,,4.361,9
