tap_id,t_ms,keyboard_mode,tap_x,tap_y,tap_local_x,tap_local_y,tap_norm_x,tap_norm_y,key_label,key_x,key_y,key_width,key_height,keyboard_width,keyboard_height,tap_coordinate_space,tap_screen_x,tap_screen_y,keyboard_screen_x,keyboard_screen_y,tap_source,touch_window
1,10618.4030,system,15.0000,67.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,15.0000,605.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
2,10762.7382,system,55.0000,84.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,55.0000,622.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
3,10818.4644,system,105.0000,70.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,105.0000,608.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
4,28602.5020,system,371.0000,188.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,371.0000,726.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
5,32407.2614,system,105.0000,69.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,105.0000,607.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
6,32477.0914,system,197.0000,24.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,197.0000,562.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
7,56407.9080,system,371.0000,188.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,371.0000,726.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
8,60652.2520,system,204.0000,25.0000,,,,,,,,,,402.0000,336.0000,keyboard_points,204.0000,563.0000,0.0000,538.0000,native_keyboard_region,UIRemoteKeyboardWindow
